codigo,nombre,categoria,tipo,unidad,horas_estandar,precio_seg_a_sedan,precio_seg_b_suv,precio_seg_c_v6_camioneta,precio_seg_d_diesel_europeo,itbis,notas
MO-D01,Diagnostico con escaner (lectura y borrado de codigos),DIAGNOSTICO,SERVICIO,UND,1.0,1200,1500,1750,2050,18,Se abona al trabajo si el cliente autoriza la reparacion
MO-D02,Diagnostico avanzado (escaner + datos en vivo y pruebas),DIAGNOSTICO,SERVICIO,UND,2.0,2400,3000,3500,4100,18,"Fallas intermitentes, luz de motor recurrente"
MO-D03,Chequeo electrico general,DIAGNOSTICO,SERVICIO,UND,1.25,1500,1900,2200,2550,18,"Incluye prueba de bateria, alternador y consumo parasito"
MO-D04,"Prueba de carga: bateria, alternador y arranque",DIAGNOSTICO,SERVICIO,UND,0.5,600,750,850,1000,18,Cortesia si el cliente compra la pieza en el taller
MO-D05,Prueba de compresion de motor,DIAGNOSTICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,
MO-D06,Deteccion de fuga de A/C (nitrogeno / luz UV),DIAGNOSTICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,
MO-D07,Prueba de fuga de gases al enfriamiento (block test),DIAGNOSTICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,Sospecha de empacadura de cabezote
MO-E01,Cambio de alternador,ELECTRICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,Incluye prueba de carga posterior
MO-E02,Cambio de motor de arranque,ELECTRICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,
MO-E03,Cambio de bateria y limpieza de bornes,ELECTRICO,SERVICIO,UND,0.3,500,500,500,600,18,Aplica cargo minimo
MO-E04,Cambio de motor de puerta (elevavidrios),ELECTRICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,Incluye desarmar y armar panel de puerta
MO-E05,Cambio de botonera / switch de vidrios,ELECTRICO,SERVICIO,UND,0.75,900,1100,1300,1550,18,
MO-E06,Cambio de actuador de seguro de puerta,ELECTRICO,SERVICIO,UND,1.25,1500,1900,2200,2550,18,
MO-E07,Reparacion de arnes o cortocircuito (por hora),ELECTRICO,SERVICIO,UND,1.0,1200,1500,1750,2050,18,Se cobra por hora real trabajada
MO-E08,Cambio de bobina de encendido,ELECTRICO,SERVICIO,UND,0.75,900,1100,1300,1550,18,"Si son todas, cotizar como bujias + bobinas"
MO-E09,Cambio de motor de limpiaparabrisas,ELECTRICO,SERVICIO,UND,1.25,1500,1900,2200,2550,18,
MO-E10,Instalacion de radio / bocinas,ELECTRICO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,
MO-M01,Cambio de bujias (4 cilindros),MOTOR Y ENCENDIDO,SERVICIO,UND,0.75,900,1100,1300,1550,18,
MO-M02,Cambio de bujias (6 cilindros / hay que bajar multiple),MOTOR Y ENCENDIDO,SERVICIO,UND,2.0,2400,3000,3500,4100,18,Incluye empacaduras de multiple si aplica
MO-M03,Cambio de correa de accesorios,MOTOR Y ENCENDIDO,SERVICIO,UND,1.0,1200,1500,1750,2050,18,
MO-M04,Cambio de correa de tiempo (kit completo),MOTOR Y ENCENDIDO,SERVICIO,UND,6.0,7200,9000,10450,12250,18,"Kit: correa, tensor, poleas, bomba de agua"
MO-M05,Cambio de bomba de agua,MOTOR Y ENCENDIDO,SERVICIO,UND,3.0,3600,4500,5200,6100,18,
MO-M06,Cambio de termostato,MOTOR Y ENCENDIDO,SERVICIO,UND,1.5,1800,2250,2600,3050,18,Incluye purgado del sistema
